ปีการศึกษา,คณะ,สาขา,นักศึกษาทั้งหมด,ลงทะเบียน,สอบผ่าน
2566,วิทยาศาสตร์และเทคโนโลยี,วิทยาการข้อมูล (วท.บ. 4 ปี ),10,1,1
2566,วิทยาศาสตร์และเทคโนโลยี,วิทยาการคอมพิวเตอร์ (วท.บ. 4 ปี ),38,26,24
2566,วิทยาศาสตร์และเทคโนโลยี,วิทยาศาสตร์สิ่งแวดล้อม (วท.บ. 4 ปี ),18,15,14
2566,วิทยาศาสตร์และเทคโนโลยี,สาธารณสุขศาสตร์ (วท.บ. 4 ปี ),95,73,49
2566,ครุศาสตร์,การประถมศึกษา (ค.บ. 4 ปี ),33,28,26
2566,ครุศาสตร์,การศึกษาปฐมวัย (ค.บ. 4 ปี ),35,31,29
2566,ครุศาสตร์,การศึกษาพิเศษและภาษาอังกฤษ (ค.บ. 4 ปี ),34,31,27
2566,ครุศาสตร์,คณิตศาสตร์ (ค.บ. 4 ปี ),66,59,57
2566,ครุศาสตร์,คหกรรมศาสตร์ (ค.บ. 4 ปี ),32,25,19
2566,ครุศาสตร์,เคมี (ค.บ. 4 ปี ),33,32,32
2566,ครุศาสตร์,นวัตกรรมและคอมพิวเตอร์ศึกษา (ค.บ. 4 ปี ),35,33,32
2566,ครุศาสตร์,พลศึกษา (ค.บ. 4 ปี ),65,50,42
2566,ครุศาสตร์,ฟิสิกส์ (ค.บ. 4 ปี ),31,26,26
2566,ครุศาสตร์,ภาษาไทย (ค.บ. 4 ปี ),63,56,50
2566,ครุศาสตร์,สังคมศึกษา (ค.บ. 4 ปี ),29,25,24
2566,ครุศาสตร์,อุตสาหกรรมศิลป์ (ค.บ. 4 ปี ),29,21,16
2566,มนุษยศาสตร์และสังคมศาสตร์,การท่องเที่ยว (ศศ.บ. 4 ปี ),45,33,31
2566,มนุษยศาสตร์และสังคมศาสตร์,การพัฒนาชุมชน (ศศ.บ. 4 ปี ),28,17,16
2566,มนุษยศาสตร์และสังคมศาสตร์,ดนตรี (ศป.บ. 4 ปี ),20,12,6
2566,มนุษยศาสตร์และสังคมศาสตร์,ทัศนศิลป์ (ศป.บ. 4 ปี ),15,11,5
2566,มนุษยศาสตร์และสังคมศาสตร์,นิติศาสตร์ (น.บ. 4 ปี ),84,70,48
2566,มนุษยศาสตร์และสังคมศาสตร์,ภาษาไทยเพื่อการสื่อสาร (ศศ.บ. 4 ปี ),46,43,39
2566,มนุษยศาสตร์และสังคมศาสตร์,ภาษาอังกฤษ (ศศ.บ. 4 ปี ),83,69,65
2566,มนุษยศาสตร์และสังคมศาสตร์,ภาษาอังกฤษเพื่อการสื่อสารทางธุรกิจ (ศศ.บ. 4 ปี ),59,46,42
2566,มนุษยศาสตร์และสังคมศาสตร์,รัฐศาสตร์ (ร.บ. 4 ปี ),77,0,0
2566,มนุษยศาสตร์และสังคมศาสตร์,ศิลปกรรม (ศป.บ. 4 ปี ),0,0,0
2566,มนุษยศาสตร์และสังคมศาสตร์,สารสนเทศศาสตร์ (ศศ.บ. 4 ปี ),0,0,0
2566,วิทยาการจัดการ,การจัดการธุรกิจค้าปลีก (บธ.บ. 4 ปี ),23,0,0
2566,วิทยาการจัดการ,การบัญชี (บช.บ. 4 ปี ),62,55,40
2566,วิทยาการจัดการ,การบัญชี (บช.บ. 4 ปี เทียบโอน ),44,42,39
2566,วิทยาการจัดการ,คอมพิวเตอร์ธุรกิจ (บธ.บ. 4 ปี ),30,21,21
2566,วิทยาการจัดการ,คอมพิวเตอร์ธุรกิจ (บธ.ม. 4 ปี เทียบโอน ),26,24,23
2566,วิทยาการจัดการ,นิเทศศาสตร์ (นศ.บ. 4 ปี ),43,0,0
2566,วิทยาการจัดการ,บริหารธุรกิจ(แขนงวิชาการเงินการธนาคาร) (บธ.น. 4 ปี),0,0,0
2566,วิทยาการจัดการ,บริหารธุรกิจ(แขนงวิชาการจัดการ) (บธ.ม. 4 ปี เทียบโอน ),37,35,25
2566,วิทยาการจัดการ,บริหารธุรกิจ(แขนงวิชาการจัดการทั่วไป) (บธ.บ. 4 ปี),50,38,24
2566,วิทยาการจัดการ,บริหารธุรกิจ(แขนงวิชาการจัดการโลอิสติกส์) (บธ.น. 4 ปี),62,51,42
2566,วิทยาการจัดการ,บริหารธุรกิจ(แขนงวิชาการตลาด) (บร.ม. 4 ปี),28,19,8
2566,วิทยาการจัดการ,รัฐประศาสนศาสตร์ (รป.บ. 4 ปี ),127,83,59
2566,เทคโนโลยีการเกษตร,การประมง (วท.บ. 4 ปี ),8,7,3
2566,เทคโนโลยีการเกษตร,เทคนิคการสัตวแพทย์ (วท.บ. 4 ปี ),26,19,14
2566,เทคโนโลยีการเกษตร,บริหารธุรกิจการเกษตร (วท.น. 4 ปี),28,6,2
2566,เทคโนโลยีการเกษตร,พืชศาสตร์ (วท.บ. 4 ปี ),18,12,11
2566,เทคโนโลยีการเกษตร,วิทยาศาสตร์และเทคโนโลยีการอาหาร (วท.ม. 4 ปี),14,10,9
2566,เทคโนโลยีการเกษตร,สัตวศาสตร์ (วท.บ. 4 ปี ),22,9,6
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยีเครื่องกลและการผลิต(แขนงวิชาเทคโนโลยีการผลิต) (กล.บ. 4 ปี ),15,0,0
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยีเครื่องกลและการผลิต(แขนงวิชาเทคโนโลยีการผลิต) (กล.บ. 4 ปี เกียบโอน ),10,0,0
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยีเครื่องกลและการผลิต(แขบงวิชาเทคโนโลยีเครื่องกล) (ทล.บ. 4 ปี ),35,0,0
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยีเครื่องกลและการผลิต(แขนงวิชาเทคโนโลยีเครื่องกล) (กล.ม. 4 ปี เทียบโอบ ),14,0,0
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยีไฟฟ้าและอิเล็กทรอนิกส์(แขนงวิชาไฟฟ้า) (ทล.บ. 4 ปี ),31,9,6
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยี่ไฟฟ้าและอิเล็กทรอนิกส์(แขนงวิชาไฟฟ้า) (ทล.บ. 4 ปี เทียบโอน ),17,17,13
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยีไฟฟ้าและอิเล็กทรอนิกส์(แขนงวิชาอิเล็กทรอนิกส์) (กล.บ. 4 ปี ),16,0,0
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยีไฟฟ้าและอิเล็กทรอนิกส์(แขนงวิชาอิเล็กทรอนิกส์) (ทล.บ. 4 ปี เทียบโอบ ),8,8,6
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยี่โยธาและสถาปัตยกรรม(แขนงวิชาเทคโนโลยีโยธา) (ทล.ม. 4 ปี เทียบโอน ),50,1,0
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยีโยธาและสถาปัตยกรรม(แขนงวิชาเทคโนโลยี่สถาปัตยกรรม) (ทล.น. 4 ปี ),13,0,0
2566,เทคโนโลยีอุตสาหกรรม,เทคโนโลยี่โยธาและสถาปัตยกรรม(แขนงวิชาเกคโนโลยีสถาปัตยกรรม) (ทล.บ. 4 ปี เทียบโอน ),3,1,0
